序號,機構名稱,郵遞區號,地址,電話,104年評鑑成績,105年評鑑成績,106年評鑑成績,107年評鑑成績,108年評鑑成績
20,臺北市私立祥寶尊榮老人長期照顧中心(養護型),10356,臺北市大同區太原路97巷4、6號1-5樓,02-25501118,,,,優等,
21,臺北市私立康寧老人長期照顧中心(養護型),10687,臺北市大安區仁愛路4段300巷20弄15號2樓、17號2樓,02-27053835,,甲等,,,
22,臺北市私立上上老人養護所,10665,臺北市大安區復興南路1段279巷14號、16號1樓,02-27032223,優等,,,優等,
23,臺北市私立嘉恩老人長期照顧中心(養護型),10672,臺北市大安區安居街27號4樓、6樓及29號4樓、5樓,02-27371330,,,,甲等,
24,臺北市私立健全老人長期照顧中心(養護型),10643,臺北市大安區金山南路2段152號2~6樓(4樓為員工宿舍),02-23943265,,,甲等,,
25,臺北市私立天恩老人長期照顧中心(養護型),10660,臺北市大安區新生南路3段7-4號、9-4號、9-5號,02-23620457 02-23634382,,,甲等,,
26,臺北市私立新常安老人長期照顧中心(養護型),10672,臺北市大安區安居街46巷14號1-3樓及和平東路3段228巷39號2樓,02-23775448,,,甲等,,
27,臺北市私立松湛園老人養護所,10451,臺北市中山區錦州街4巷1號2樓及2樓之1,02-25652281,乙等,,,乙等,甲等
28,臺北市私立松青園老人養護所,10448,臺北市中山區民生西路30號2樓、2樓之1~4,02-25110903   ,乙等,,,丙等(再予考評為乙等),
29,臺北市私立仁群老人長期照顧中心(養護型),10474,臺北市中山區民族東路512巷14號1-2樓、16號2樓,02-25013369,優等,,,甲等,
30,臺北市私立龍江老人長期照顧中心(養護型),10442,臺北市中山區長安東路1段63號4樓 ,02-25672208,,甲等,,,
31,臺北市私立法泉老人長期照顧中心(養護型),10491,臺北市中山區八德路2段251號2樓,02-87731706,,乙等,,,
32,臺北市私立晨欣老人長期照顧中心(養護型),10449,臺北市中山區中山北路2段96巷19號3樓,02-25365888,,,,乙等,
33,臺北市私立群仁老人長期照顧中心(養護型),10474,臺北市中山區民族東路512巷14號3~5樓,02-25010048,,,甲等,,
34,臺北市私立福成老人長期照顧中心(養護型),10472,臺北市中山區松江路374、380、382號4樓,02-25982507,,,優等,,
35,臺北市私立福喜老人長期照顧中心(養護型),10472,臺北市中山區松江路374、380、382號7樓,02-25919087,,,,甲等,
36,臺北市私立博愛老人長期照顧中心(養護型),10087,臺北市中正區汀州路3段56號2樓,02-23671050  02-23671819,甲等,,,甲等,
37,臺北市私立明德老人長期照顧中心(養護型),10073,臺北市中正區紹安街220巷2號、4號1樓,02-23090381 ,,乙等,,,
38,臺北市私立大園老人長期照顧中心(養護型),10061,臺北市中正區新生南路1段124之3號1-4樓,02-33931661,優等,,,乙等,
39,臺北市私立仁泰老人長期照顧中心(養護型),10061,臺北市中正區連雲街3號1樓、3號3樓、3之4號及新生南路1段124之3號5樓,02-33931662,,,乙等,,甲等
40,臺北市私立童音老人長期照顧中心(養護型),11483,臺北市內湖區民權東路6段280巷19弄1、3、5、7號1樓,02-26345131  ,,甲等,,,
41,臺北市私立銀髮族老人養護所,11472,臺北市內湖區成功路2段488號2、3樓及490號2樓,02-27926006,乙等,,,乙等,
42,臺北市私立祥家老人養護所,11472,臺北市內湖區內湖路二段253巷1弄1、3號1~2樓,02-27922281,優等,,,優等,
43,臺北市私立瑞安老人長期照顧中心（養護型）,11460,臺北市內湖區成功路3段88、90、92號2樓及76巷9號2樓,02-27925292,,乙等,,,
44,臺北市私立湖濱老人長期照顧中心(養護型),11463,臺北市內湖區內湖路2段179巷58、60號1樓,02-27933081,,乙等,,,
45,臺北市私立文德老人長期照顧中心(養護型),11468,臺北市內湖區陽光街70之3、72之1號1樓,02-26581303,,,乙等,,
46,臺北市私立慧誠老人長期照顧中心(養護型),11647,臺北市文山區木柵路2段163、165號1-4樓,02-29392222,,,乙等,,
47,臺北市私立心慈老人養護所,11695,臺北市文山區辛亥路5段120之1號1-4樓,02-29314730,,,乙等,,
48,臺北市文山老人養護中心,11687,臺北市文山區興隆路2段95巷8號3-6樓,02-89313190,,甲等,,,
49,臺北市兆如老人安養護中心,11656,臺北市文山區政大二街129號,02-86616365,,甲等,,,
50,臺北市私立蓮馨老人長期照顧中心(養護型),11657,臺北市文山區萬和街6號8樓,02-82300373,,,乙等,,
51,臺北市政府社會局老人自費安養中心,11646,臺北市文山區興隆路4段109巷30弄6號,02-29393147,,乙等,,,
52,臺北市私立美安老人長期照顧中心(養護型),11672,臺北市文山區溪口街1巷5號3-4樓,02-29316388,,優等,,,
53,臺北市私立吉祥老人長期照顧中心(養護型),11648,臺北市文山區木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,02-22343511,,乙等,,,
54,臺北市私立慈安老人長期照顧中心(養護型),11681,臺北市文山區興隆路1段2、4號1~4樓,02-29337745,,,甲等,,
55,臺北市私立慧華老人長期照顧中心(養護型),11687,臺北市文山區興隆路2段154巷11號1樓,02-29356272,,,甲等,,
56,臺北市私立三園老人長期照顧中心(養護型),11670,臺北市文山區車前路12號3-4樓,02-29321147,優等,,,甲等,
57,臺北市私立景安老人長期照顧中心(養護型),11672,臺北市文山區溪口街1巷5號1-2樓,02-29325698,,,甲等,,
58,臺北市私立景興老人長期照顧中心(養護型),11669,臺北市文山區景興路222號3樓,02-29349412,,,乙等,乙等,甲等
59,臺北市私立萬芳老人長期照顧中心(養護型),11657,臺北市文山區萬和街8號3樓,02-22303000,,,,丙等(再予考評為乙等),
60,臺北市立浩然敬老院,11260,臺北市北投區知行路75號,02-28581081,,甲等,,,
61,臺北市私立精英國際老人長期照顧中心(養護型),11261,臺北市北投區關渡路60、62之1號1樓,02-28582701,,,,乙等,
62,臺北市私立全家老人長期照顧中心(養護型),11284,臺北市北投區行義路96巷1號1-2樓,02-28761692,優等,,,優等,
63,臺北市私立榮健老人長期照顧中心(養護型),11287,臺北市北投區文林北路94巷5弄13號1-2樓、15號2樓,02-28216113,,甲等,,,
64,臺北市私立榮祥老人長期照顧中心(養護型),11287,臺北市北投區文林北路166巷5弄2號1、2樓、4號1樓,02-28213709,,甲等,,,
65,臺北市私立北投老人長期照顧中心(養護型),11244,臺北市北投區公館路231巷20號1樓,02-28937412,,優等,,,
66,臺北市私立貴族老人長期照顧中心(養護型),11268,臺北市北投區大業路452巷2號2-5樓,02-28965555,,,甲等,,
67,臺北市私立豪門老人長期照顧中心(養護型),11268,臺北市北投區大業路452巷2號6-9樓,02-28965555,,,甲等,,
68,臺北市私立倚青園老人長期照顧中心(養護型),11266,臺北市北投區義理街63巷4弄7號、11之1號、11之2號、11之3號1樓,02-28283533,,,優等,,
69,臺北市私立陽明山老人長期照顧中心(養護型),11291,臺北市北投區紗帽路116號1樓,02-28615006,,優等,,,
70,臺北市私立高德老人長期照顧中心(養護型),11266,臺北市北投區磺港路156號1-3樓,02-28982418,,,,,乙等
71,臺北市私立賢暉老人長期照顧中心(養護型),11267,臺北市北投區石牌路2段315巷34弄14、16號1樓,02-28710770,,乙等,,,
72,臺北市私立崇順老人養護所,11260,臺北市北投區知行路54號1-2樓,02-28581979,,優等,,,
73,臺北市私立建民老人長期照顧中心(養護型),11278,臺北市北投區建民路22、24、26、26之1號1樓,02-28250799,,甲等,,,
74,"臺北市私立全泰老人長期照顧中心(養護型)
",11284,臺北市北投區行義路105號1-2樓,02-28747739,,乙等,,,
75,臺北市私立義行老人長期照顧中心(養護型),11267,臺北市北投區石牌路2段357巷1號4-6樓,02-28767880,,乙等,,,
76,臺北市私立尊暉老人長期照顧中心(養護型),11267,臺北市北投區石牌路2段343巷17號1-2樓,02-28761997,甲等,,,乙等,
77,臺北市私立怡靜老人長期照顧中心(養護型),11271,臺北市北投區致遠二路96巷3弄1、3號1樓,02-28200437,,乙等,,,
78,臺北市私立聖心老人養護所,11256,臺北市北投區稻香路321號1樓,02-28913890,,,優等,,
79,臺北市私立全寶老人長期照顧中心(養護型),11267,臺北市北投區石牌路2段315巷16弄2、2-1號1樓,02-28710792,,丙等(再予考評為乙等),,,
80,臺北市私立行義老人長期照顧中心(養護型),11267,臺北市北投區石牌路2段357巷1號1-3樓,02-28729599,,,甲等,,
81,臺北市私立奇里岸老人長期照顧中心(養護型),11274,臺北市北投區西安街2段245號1-2樓,02-28275139,,,甲等,,
82,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),11252,臺北市北投區中和街錫安巷112號1-2樓及地下1樓,02-28936161,,乙等,,,
83,臺北市私立同德老人長期照顧中心(養護型),11280,臺北市北投區明德路306號1-7樓,02-28281328,,甲等,,,
84,臺北市私立群英老人長期照顧中心(養護型),10557,臺北市松山區敦化南路1段7號4樓,02-25791400,甲等,,,甲等,
85,臺北市私立康壯老人長期照顧中心(養護型),10561,臺北市松山區八德路4段203號、205號1、3、4樓,02-27686697,甲等,,,優等,
86,臺北市私立台大老人長期照顧中心(養護型),10557,臺北市松山區敦化南路1段7號4樓之1,02-25792816,,,甲等,,
87,臺北市私立仁仁老人長期照顧中心(養護型),10569,臺北市松山區南京東路5段356號2樓,02-27659900,,,乙等,,
88,臺北市私立倚青苑老人養護所,11062,臺北市信義區中坡北路21號1-2樓、23號2樓,02-27477232,,,甲等,,
89,臺北市私立康庭老人養護所,11085,臺北市信義區信義路6段15巷16號1樓,02-23460684,,乙等,,,
90,臺北市私立福安老人長期照顧中心(養護型),11567,臺北市南港區玉成街140巷21號、23號2樓,02-27850584,,乙等,,,
91,臺北市私立中山老人長期照顧中心(養護型),10843,臺北市萬華區峨嵋街124號、124之1號1樓,02-23759590,,,優等,,
92,財團法人臺北市私立恆安老人長期照顧中心(長期照護型),10882,臺北市萬華區水源路187號,02-23327973,,甲等,,,
93,臺北市私立葉媽媽老人長期照顧中心(養護型),10864,臺北市萬華區西園路2段243之13號1-4樓,02-23329986,,,,,乙等
94,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,10867,臺北市萬華區德昌街125巷11號1-4樓及13號1樓,02-23046715,,優等,,,
95,臺北市私立葉爸爸老人長期照顧中心(養護型),10864,臺北市萬華區西園路2段243之14號1-4樓,02-23329985,,,,,乙等
96,財團法人臺北市私立愛愛院,10856,臺北市萬華區大理街175巷27號,02-23060493 02-23041834,,甲等,,,
97,臺北市私立軒儀老人長期照顧中心(養護型),10855,臺北市萬華區和平西路3段384號1樓,02-23088661,,優等,,,
