"hosp_name","hosp_addr","phone","district"
"臺北市私立瑞安老人長期照顧中心（養護型）","臺北市內湖區成功路3段88、90、92號2樓及76巷9號2樓","02-27925292","內湖區"
"臺北市私立湖濱老人長期照顧中心(養護型)","臺北市內湖區內湖路2段179巷58、60號1樓","02-27933081","內湖區"
"臺北市私立文德老人長期照顧中心(養護型)","臺北市內湖區陽光街70之3、72之1號1樓","02-26581303","內湖區"
"臺北市私立慧誠老人長期照顧中心(養護型)","臺北市文山區木柵路2段163、165號1-4樓","02-29392222","文山區"
"臺北市私立心慈老人養護所","臺北市文山區辛亥路5段120之1號1-4樓","02-29314730","文山區"
"臺北市文山老人養護中心","臺北市文山區興隆路2段95巷8號3-6樓","02-89313190","文山區"
"臺北市兆如老人安養護中心","臺北市文山區政大二街129號","02-86616365","文山區"
"臺北市私立蓮馨老人長期照顧中心(養護型)","臺北市文山區萬和街6號8樓","02-82300373","文山區"
"臺北市政府社會局老人自費安養中心","臺北市文山區興隆路4段109巷30弄6號","02-29393147","文山區"
"臺北市私立美安老人長期照顧中心(養護型)","臺北市文山區溪口街1巷5號3-4樓","02-29316388","文山區"
"臺北市私立吉祥老人長期照顧中心(養護型)","臺北市文山區木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓","02-22343511","文山區"
"臺北市私立慈安老人長期照顧中心(養護型)","臺北市文山區興隆路1段2、4號1~4樓","02-29337745","文山區"
"臺北市私立慧華老人長期照顧中心(養護型)","臺北市文山區興隆路2段154巷11號1樓","02-29356272","文山區"
"臺北市私立三園老人長期照顧中心(養護型)","臺北市文山區車前路12號3-4樓","02-29321147","文山區"
"臺北市私立景安老人長期照顧中心(養護型)","臺北市文山區溪口街1巷5號1-2樓","02-29325698","文山區"
"臺北市私立景興老人長期照顧中心(養護型)","臺北市文山區景興路222號3樓","02-29349412","文山區"
"臺北市私立萬芳老人長期照顧中心(養護型)","臺北市文山區萬和街8號3樓","02-22303000","文山區"
"臺北市立浩然敬老院","臺北市北投區知行路75號","02-28581081","北投區"
"臺北市私立精英國際老人長期照顧中心(養護型)","臺北市北投區關渡路60、62之1號1樓","02-28582701","北投區"
"臺北市私立全家老人長期照顧中心(養護型)","臺北市北投區行義路96巷1號1-2樓","02-28761692","北投區"
"臺北市私立榮健老人長期照顧中心(養護型)","臺北市北投區文林北路94巷5弄13號1-2樓、15號2樓","02-28216113","北投區"
"臺北市私立榮祥老人長期照顧中心(養護型)","臺北市北投區文林北路166巷5弄2號1、2樓、4號1樓","02-28213709","北投區"
"臺北市私立北投老人長期照顧中心(養護型)","臺北市北投區公館路231巷20號1樓","02-28937412","北投區"
"臺北市私立貴族老人長期照顧中心(養護型)","臺北市北投區大業路452巷2號2-5樓","02-28965555","北投區"
"臺北市私立豪門老人長期照顧中心(養護型)","臺北市北投區大業路452巷2號6-9樓","02-28965555","北投區"
"臺北市私立倚青園老人長期照顧中心(養護型)","臺北市北投區義理街63巷4弄7號、11之1號、11之2號、11之3號1樓","02-28283533","北投區"
"臺北市私立陽明山老人長期照顧中心(養護型)","臺北市北投區紗帽路116號1樓","02-28615006","北投區"
"臺北市私立高德老人長期照顧中心(養護型)","臺北市北投區磺港路156號1-3樓","02-28982418","北投區"
"臺北市私立賢暉老人長期照顧中心(養護型)","臺北市北投區石牌路2段315巷34弄14、16號1樓","02-28710770","北投區"
"臺北市私立崇順老人養護所","臺北市北投區知行路54號1-2樓","02-28581979","北投區"
"臺北市私立建民老人長期照顧中心(養護型)","臺北市北投區建民路22、24、26、26之1號1樓","02-28250799","北投區"
"臺北市私立全泰老人長期照顧中心(養護型)
","臺北市北投區行義路105號1-2樓","02-28747739","北投區"
"臺北市私立義行老人長期照顧中心(養護型)","臺北市北投區石牌路2段357巷1號4-6樓","02-28767880","北投區"
"臺北市私立尊暉老人長期照顧中心(養護型)","臺北市北投區石牌路2段343巷17號1-2樓","02-28761997","北投區"
"臺北市私立怡靜老人長期照顧中心(養護型)","臺北市北投區致遠二路96巷3弄1、3號1樓","02-28200437","北投區"
"臺北市私立聖心老人養護所","臺北市北投區稻香路321號1樓","02-28913890","北投區"
"臺北市私立全寶老人長期照顧中心(養護型)","臺北市北投區石牌路2段315巷16弄2、2-1號1樓","02-28710792","北投區"
"臺北市私立行義老人長期照顧中心(養護型)","臺北市北投區石牌路2段357巷1號1-3樓","02-28729599","北投區"
"臺北市私立奇里岸老人長期照顧中心(養護型)","臺北市北投區西安街2段245號1-2樓","02-28275139","北投區"
"財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型)","臺北市北投區中和街錫安巷112號1-2樓及地下1樓","02-28936161","北投區"
"臺北市私立同德老人長期照顧中心(養護型)","臺北市北投區明德路306號1-7樓","02-28281328","北投區"
"臺北市私立群英老人長期照顧中心(養護型)","臺北市松山區敦化南路1段7號4樓","02-25791400","松山區"
"臺北市私立康壯老人長期照顧中心(養護型)","臺北市松山區八德路4段203號、205號1、3、4樓","02-27686697","松山區"
"臺北市私立台大老人長期照顧中心(養護型)","臺北市松山區敦化南路1段7號4樓之1","02-25792816","松山區"
"臺北市私立仁仁老人長期照顧中心(養護型)","臺北市松山區南京東路5段356號2樓","02-27659900","松山區"
"臺北市私立倚青苑老人養護所","臺北市信義區中坡北路21號1-2樓、23號2樓","02-27477232","信義區"
"臺北市私立康庭老人養護所","臺北市信義區信義路6段15巷16號1樓","02-23460684","信義區"
"臺北市私立福安老人長期照顧中心(養護型)","臺北市南港區玉成街140巷21號、23號2樓","02-27850584","南港區"
"臺北市私立中山老人長期照顧中心(養護型)","臺北市萬華區峨嵋街124號、124之1號1樓","02-23759590","萬華區"
"財團法人臺北市私立恆安老人長期照顧中心(長期照護型)","臺北市萬華區水源路187號","02-23327973","萬華區"
"臺北市私立葉媽媽老人長期照顧中心(養護型)","臺北市萬華區西園路2段243之13號1-4樓","02-23329986","萬華區"
"財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心","臺北市萬華區德昌街125巷11號1-4樓及13號1樓","02-23046715","萬華區"
"臺北市私立葉爸爸老人長期照顧中心(養護型)","臺北市萬華區西園路2段243之14號1-4樓","02-23329985","萬華區"
"財團法人臺北市私立愛愛院","臺北市萬華區大理街175巷27號","02-23060493 02-23041834","萬華區"
"臺北市私立軒儀老人長期照顧中心(養護型)","臺北市萬華區和平西路3段384號1樓","02-23088661","萬華區"
