醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,類型
931060016,新仁醫療社團法人新仁醫院,醫院,(02)22017212,新北市新莊區中正路３９５號、福海街２４巷１號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析","家醫科,內科,外科,骨科,泌尿科,復健科",20260531.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,20110601,地區醫院
931090014,永聖醫療社團法人文化醫院,醫院,(02)26732885,新北市三峽區介壽路１段１９９號,臺北業務組,3,"門診診療,住院診療",內科,20280220.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,20080221,地區醫院
931100015,北新醫療社團法人北新醫院,精神科醫院,(02)26209199,新北市淡水區忠寮里演戲埔腳１之２號,臺北業務組,3,"門診診療,住院診療",精神科,20250810.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20160811,地區醫院
1101020027,中心診所醫療財團法人中心綜合醫院,綜合醫院,(02)27510221,臺北市大安區忠孝東路４段７７號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,職業醫學科,急診醫學科,牙科,口腔顎面外科,麻醉科,放射診斷科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,19950301,地區醫院
1101020036,宏恩醫療財團法人宏恩綜合醫院,綜合醫院,(02)27713161,臺北市大安區仁愛路４段７１巷１號及４段６１號、９１巷１６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,復健科,職業醫學科,牙科,麻醉科,放射線科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診時間：07:00-22:00,63000,19950301,地區醫院
1101110026,康寧醫療財團法人康寧醫院,綜合醫院,(02)26345500,臺北市內湖區成功路５段４２０巷２６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,神經科,復健科,急診醫學科,牙科,麻醉科,放射診斷科",20250731.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19990801,地區醫院
1231030015,天主教耕莘醫療財團法人永和耕莘醫院,綜合醫院,(02)29286060,新北市永和區中興街８０號Ｂ１-７樓、國光路１２３號Ｂ３-１１樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,職業醫學科,急診醫學科,牙科,中醫一般科,麻醉科,放射線科,解剖病理科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時,65000,19950301,地區醫院
1301110511,中國醫藥大學附設醫院臺北分院,綜合醫院,(02)27919696,臺北市內湖區內湖路２段３６０號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,中醫一般科,麻醉科,放射線科",20250824.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,颱風天開診情形請洽本院網站最新消息公告，本院無急診、快篩及PCR服務。,63000,20080825,地區醫院
1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,醫院,(02)23021133,臺北市萬華區廣州街２００、２４３號,臺北業務組,3,"復健－物理治療業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,婦產科,骨科,耳鼻喉科,眼科,皮膚科,神經科,復健科,牙科,中醫一般科,放射診斷科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19950301,地區醫院
1401190039,同仁院醫療財團法人萬華醫院,慢性醫院,(02)23059292,臺北市萬華區中華路２段６０６巷６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","內科,外科,復健科,中醫一般科",20250920.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19960921,地區醫院
1431060017,財團法人台灣省私立台北仁濟院附設新莊仁濟醫院,精神科醫院,(02)22015222,新北市新莊區中環路１段２８號,臺北業務組,3,"門診診療,住院診療,精神病患者居家照護,精神科日間住院治療",精神科,20260831.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20110901,地區醫院
1501010010,博仁綜合醫院,綜合醫院,(02)25786677,臺北市松山區光復北路６６、６８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查","不分科,家醫科,內科,外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,職業醫學科,牙科,麻醉科,放射診斷科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,19950301,地區醫院
1501010029,培靈醫院,精神科醫院,(02)27606116,臺北市松山區八德路４段３５５號,臺北業務組,3,"門診診療,住院診療",精神科,20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,每週六、週日及國定假日休診,63000,19950301,地區醫院
1501021219,秀傳醫院,醫院,(02)27717172,臺北市大安區光復南路１１６巷１、３、５號１至４樓及地下１樓,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,婦產科,皮膚科",20270228.0,星期一上午休診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,停診,63000,20180301,地區醫院
1501100037,協和婦女醫院,醫院,(02)25072222,臺北市中山區松江路８５巷５號９３巷６號９３巷６號２樓,臺北業務組,3,"門診診療,婦女人類乳突病毒檢測服務,住院診療,分娩","兒科,婦產科,牙科",20250713.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19970714,地區醫院
1501101141,泰安醫院,慢性醫院,(02)25251111,臺北市中山區民權東路２段９２巷２－１號（地下１樓至地上６樓）,臺北業務組,3,,,20240620.0,,,63000,20030919,地區醫院
1501201020,景美醫院,醫院,(02)29331010,臺北市文山區羅斯福路６段２８０號及文山區育英街２巷１８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,結核病","家醫科,內科,外科,骨科,復健科,麻醉科,放射診斷科",20271231.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20060602,地區醫院
1531010082,板新醫院,醫院,(02)29609955,新北市板橋區中正路１８９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析","內科,外科,神經科,復健科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301,地區醫院
1531010108,蕭中正醫院,醫院,(02)29685661,新北市板橋區南雅南路１段１５－１，１７，１９號,臺北業務組,3,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析,分娩,腹膜透析業務","家醫科,內科,婦產科,泌尿科,復健科",20250820.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19980821,地區醫院
1531010279,板橋中興醫院,綜合醫院,(02)29590707,新北市板橋區忠孝路１５號、新北市土城區中華路１段３２號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,胸部低劑量電腦斷層檢查","家醫科,內科,外科,骨科,泌尿科,神經科,放射線科,放射腫瘤科",20280315.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19990316,地區醫院
1531011310,板橋國泰醫院,醫院,(02)29583333,新北市板橋區忠孝路５，７，９，１１號１－３樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,急診業務,門診診療,住院診療","家醫科,內科,兒科,復健科",20260114.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20000115,地區醫院
1531020122,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,臺北業務組,3,,,20240801.0,,,65000,19970630,地區醫院
1531021165,三重中興醫院,醫院,(02)29959680,新北市三重區中興北街２１號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療","內科,外科,神經科,復健科,職業醫學科",20250827.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20030828,地區醫院
1531021174,祐民醫院,醫院,(02)29783456,新北市三重區重新路２段２、６號，地下１層至地上９層,臺北業務組,3,,,20231215.0,,,65000,20060401,地區醫院
1531021183,全民醫院,醫院,(02)22821575,新北市三重區三和路４段１０３之２號１樓、２樓、３樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,外科,泌尿科,復健科",20260806.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,114／1／1晚上休診,65000,20230807,地區醫院
1531021192,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,外科,骨科,泌尿科,復健科,職業醫學科,急診醫學科,麻醉科,放射診斷科",20270731.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20240801,地區醫院
1531031278,永和復康醫院,醫院,(02)29240925,新北市永和區中和路５７５、５７７、５７９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","內科,復健科",20271105.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20151106,地區醫院
1531040259,中祥醫院,醫院,(02)22405055,新北市中和區中山路二段３５９巷２號、４號、６號,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,外科",20250901.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19960902,地區醫院
1531041363,蕙生醫院,醫院,(02)22236339,新北市中和區中山路２段５５１號地下１樓至地上１至６樓,臺北業務組,3,"門診診療,婦女人類乳突病毒檢測服務,住院診療,分娩","兒科,婦產科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20050301,地區醫院
1531041390,怡和醫院,醫院,(02)22450009,新北市中和區連城路４９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,泌尿科,復健科",20250901.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20130902,地區醫院
1531041407,祥顥醫院,醫院,(02)29468795,新北市中和區景平路４１２、４１２之１號１至５樓,臺北業務組,3,,,20220615.0,,,65000,20151224,地區醫院
