name,address,lon,lat,phone,description,english_friendly,japanese_friendly,korean_friendly,mobile_charging,accessibility_friendly,gender_friendly,digital_payment_friendly,vegetarian_friendly,restroom_friendly,fair_trade_friendly,free_wifi,bike_friendly,breastfeeding_friendly,muslim_friendly,menstruation_friendly,friendly_feature_count
"國賓中餐廳
(原台北國賓飯店川菜廳)",台北市中山區遼寧街177號2F,121.542365,25.052796,02-2536-2370/02-2100-2100#2818,以傳統正宗的牛肉末取代臺灣人常吃的豬肉末，讓料理更增添特殊風味，這就是國賓大飯店川菜廳的價值。,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,7
歐點歐式餐酒館,"臺北市中山區玉門街一號
(MAJI square 集食行樂)",121.520497,25.070359,02-2585-1550/0933-318-233(EMMA),地中海料理結合了歐洲各國複合式風味餐點，大量且多元的海鮮深獲客人喜愛。,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,6
長富時尚旅店,臺北市中山區長春路56號,121.526002,25.054824,02-2542-0101,以環保概念為主軸，設計24間精緻客房，都市叢林的綠建築，讓在外的您們安心享受飯店提供的服務，彷彿在家中般的自在舒適。,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,7
洪師父牛肉麵-建北門市,臺北市中山區建國北路二段72號,121.536473,25.054943,02-2243-2853*24/02-2500-6850(店家),洪師父為台灣牛肉麵的代表品牌，除了傳統牛肉麵外，也不斷的開發新產品與新口味。本公司所開發的產品，是美食競賽的常勝軍，在業界頗具知名度，除了大大小小的獎項之外，也常受政府部門邀約，參加國內外美食活動、記者會、展覽，同時也經常參予各式美食競賽，增加台灣美食曝光度。眾多兩岸三地、國內外媒體的報導，在報章雜誌專題採訪，報導數百則。,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5
雀客旅館,臺北市中山區松江路253號,121.533396,25.059474,02-7726-6277,以簡約不造作的紐約 LOFT ⼯業⾵格為整體調性，刻意裸露的磚牆和管線、顏⾊對⽐強烈的拼貼地磚與百⽼匯式的招牌,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,8
喜瑞飯店,臺北市中山區長安東路一段64號,121.52938,25.047931,02-2541-0077,全館提供免費無線上網、隨選視聽娛樂系統，客房內更備有進口頂級沐浴用品。集結舒適、功能與時尚。,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,10
晶宴會館民權館,臺北市中山區民權東路三段2號B1,121.537766,25.062145,02-8773-4567/02-22266277#229,晶宴民權館共有四個主題宴會劇場，四種不同風格特色劇場，宛如四重奏的完美合奏，營造夢幻的婚宴場地，為新人留下美好回憶。,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,8
新驛旅店復興北路店,臺北市中山區復興北路338號,121.543951,25.059536,02-2515-8777,溫馨氣氛、 親切服務，除了基本設備外，更提供了自助使用的炊事小家電與洗衣房，讓人享受隨心所欲的自主生活節奏。,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,10
IRUN跑陸上競技專賣店,臺北市中山區民權東路三段31號1樓,121.542013,25.062586,02-2517-6030,自行車、路跑、陸上的運動用品專賣店。,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,5
神農市場,"臺北市中山區玉門街一號
(MAJI square 集食行樂)",121.520497,25.070359,"02-2597-7126#116 窗口王先生 
02-2597-7126#612 企劃總監",為了愛吃愛做菜的人，將安心食材通通集合在一起，匯集在地好農食材、商品與特色伴手禮，更設有熟菜食堂及復古咖啡吧,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,8
源吉兆庵,臺北市中山區南京西路5號,121.521451,25.052592,"02-2523-1575
#62/0936883425(林小姐)",源吉兆庵，商品皆由日本岡山直送，提供和菓子、月餅、蛋糕等日式點心，讓民眾品嚐到最道地的日本原味。,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,4
大地清旅。旅店,臺北市中山區長安東路二段246號4樓,121.543111,25.048176,02-2711-0102/0905-161182(黃小姐),交通十分便利、商圈機能發達，周遭多熱門景點，鬧中取靜，環境單純，商務、旅遊住宿，安全無虞。以北歐簡約風格為主。,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,9
丹迪旅店天津店,104台北市中山區天津街70號,121.523287,25.051411,02-2541-5788,現代化客房以白色作裝飾，配有迷你冰箱和私人保險箱。私人衛浴設有淋浴設施或浴缸，為了推廣簡約時尚的生活美學。,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,6
果實咖啡堂,臺北市中山區雙城街17巷7號1樓,121.524931,25.064533,02-2595-9183/0913545101(黃小姐),以咖啡為主要飲品有義式咖啡也有單品虹吸式咖啡，店內員工都有受過專業的咖啡知識訓練。,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,6
最佳風情,臺北市中山區中山北路二段158號,121.52234,25.063033,02-2586-3333/0933005888(高先生),best romamce最佳風情不只是婚紗攝影，我們努力的不僅是照片的美麗呈現，我們留存的是故事是真情、是感動是最美好的每個瞬間，絕對值得您一再回味。,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
開心茶屋,臺北市中山區雙城街10之一號,121.52424,25.064398,02-2592-4940,想做真實、好喝又便宜的飲品，給大家喝，希望口渴時會想到開心茶屋,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
新東陽三越南京專櫃,臺北市中山區南京西路12號B2,121.521244,25.052326,02-2541-7919/總公司02-2772-6222＃957(郭小姐),新東陽以推動中華美食精緻化，國際化的精神標竿為企業目標，打造”來台必買、出國必帶、台灣特產第一品牌”的企業形象，帶給消費者優質的購物體驗。,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,8
誠意中西藥局,臺北市中山區林森北路613號,121.525825,25.066472,02-2595-0951,提供全天候 專業藥師、美容師、營養師 駐店服務。專營中西藥品、保健食品、醫學美容商品、醫療器材、處方調劑。,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
PAVONA CAFE 帕沃納咖啡,臺北市中山區雙城街13巷9號1樓,121.524837,25.064181,0921-777439/02-2597-5773/0929-672-999(柯小姐),以珊瑚為命名，將過路人當作魚來比喻，也就是提供路人一個暫時的休息的地方，輕鬆的環境與香醇的咖啡，提供給所有需要休息的人。,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4
一鷺串燒居酒屋大直旗艦店,臺北市中山區植福路217號,121.560738,25.083015,02-8501-5885,採用天然地雞、高級備長炭以及自製醬料，賦予串燒一個全新不同的概念，是一鷺對自我的期許。,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,10
一鷺串燒居酒屋松江本店,臺北市中山區民權東路二段152巷1號1F,121.534789,25.061995,02-2504-3668,採用天然地雞、高級備長炭以及自製醬料，賦予串燒一個全新不同的概念，是一鷺對自我的期許。,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,10
D . M T a s t e café,臺北市中山區新生北路三段68巷39號1F,121.526349,25.066233,02-2591-7959,開店35年專營各種餐具批發與零售，咖啡器具與新鮮咖啡豆烘焙等，種類多達十萬種，歡迎有開店及餐具、咖啡用品需求來店參觀。,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
火鍋世家 (台北德惠店),臺北市中山區德惠街22號,121.525361,25.066582,02-2595-6666/0922252041(康先生),以提供新鮮、平價的食材為理念，在地經營五年，身盛在顧客的認同及喜愛，讓所有來店的貴賓都有溫馨親切的感受。,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,9
吃味－原露天義大利麵,臺北市中山區雙城街17之2號1樓,121.524413,25.064594,"0955-106-517
02-2599-1799",平實的價格也能吃到不平凡的料理，每一客麵現點現炒，學生又可以免費加大，內用有無限量供應的紅茶、冰淇淋，又有免費wi-fi沒有低消，不收服務費。,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,4
美麗華百樂園,臺北市中山區敬業三路20號,121.556698,25.083375,02-2175-3456#5217 趙先生,美麗華結合娛樂、科技、藝術於一體，可以媲美日本「東京台場摩天輪」，成為情侶約會的首選景點，加上還有浪漫夢幻的音樂旋轉木馬遊樂設施，讓空氣中更充滿溫馨歡樂感，打造複合式的商業空間。,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,7
彩匯自助餐廳,臺北市中山區樂群二路55號1樓,121.553786,25.080311,02-7722-3395#5552 洪小姐,每天備有各種琳琅珍味• 以美福集團自信的嚴選肉品搭配各地蔬食．調配出包括中西湯品、西式餐點、中式料理。,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,12
螺絲瑪莉義麵坊,臺北市中山區南京西路12巷13弄9號1樓,121.521896,25.051715,02-2521-9972(會計部)/ 02-2521-9822(店家),在地食材挑選方面既堅持又嚴格!義大利麵堅持每天當天現煮，絕對不使用隔夜義大利麵，影響麵條口感，嚴選新鮮頂級的食材，但在用料方面卻絲毫不手軟且相當大方。,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,6
烤司院炭烤吐司專賣,臺北市中山區天津街16號,121.52243,25.048401,02-2563-8360/0931368167(王小姐),專營炭烤吐司，以招牌店料理(失控起司肉蛋土司)特選紅心蛋及起司料理，極具視覺效果及滑嫩口感聞名，店內裝潢溫馨且獨特設有單人座，可與院長共同用餐。,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,8
綠蒂咖啡 Lotty Café,臺北市中山區農安街53號,121.526874,25.064986,02-2595-3480,以自家烘焙之精品咖啡豆做為一切根本的咖啡廳。優質親切服務，提供義式咖啡、單品咖啡、花草茶、果汁、商業午餐、早午餐、輕食、鬆餅、下午茶等。,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
薇閣精品旅館大直旗艦館,臺北市中山區敬業三路11號,121.55591,25.083572,02-8502-7000,薇閣大直館，是薇閣自成為台灣精品旅館的領導品牌以來，斥資最大的旗艦館。重金禮聘蔣家第四代蔣友柏、英籍旅台夜店設計大師林馬克等五大設計公司，二十多位最精銳的頂尖設計師共同打造台灣第一座Design Hotel，也是以新享樂主義概念出發的Fun-tel，實現極致奢華與精緻。在大直館這個珠寶盒中，影城的聲光影音、舞場DJ的曼妙音響、KTV的放懷抒情、美食街的佳餚料理、夜店的美酒繽紛、藥妝店的個人貼身清潔用品；這裡不是101，這裡是Fun肆的兩人天堂-薇閣異想世界!,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,10
晶華軒,臺北市中山區中山北路二段39巷3號2樓,121.523743,25.054199,02-2521-5000 分機 3236,位於臺北晶華酒店3樓的Silk House晶華軒，餐廳內融合了中國傳統書法藝術和現代的燈光、玻璃造景，從包廂透明玻璃上可以看到書法，如「醉月雲飄飛，舞蝶賞霞露」，也可以從外看到裡面桌椅全景，結合古典美學與低調奢華的時尚氛圍，古今兼具，非常有美感，為一重裝潢外觀的飲食場所。一道道精緻的正宗川粵料理，從菜名到擺盤都非常講究，在每個小細節中，盡是中式料理的精華!10間包廂可舉辦4~24人的宴會，殷情的服務、極致的品味，使其成為台北社交圈最耀眼的宴飲場所。,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,10
台北馥華商旅松江館,臺北市中山區一江街3號,121.531576,25.05075,02-2511-8896,台北馥華商旅是精品平價飯店，典雅的大方設計，濃厚的異國風情，CP值高的人氣酒店，位於台北市中心，緊鄰南京東路、松江路，距離台北捷運松江南京站步行2分鐘，交通方便，生活機能充足。提供最優質住宿服務、免費無線上網、數位頻道收視系統。使用防燃建材及自動偵煙設備，讓每位住客都能安心享受舒適的住宿環境。大廳提供24小時電腦、網路、郵件收發、傳真，提供便利服務。不管是觀光、洽公、家庭旅遊，皆是台北住宿首選。,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,8
蘭芳麵食館,臺北市中山區遼寧街95號,121.542248,25.05007,02-2752-9611,"集結家傳四川小麵與眷村美食的蘭芳麵食館，背後是兩個男人相知相惜的兄弟情。日據時代的木門、老木板、打造出眷村風味的老菜櫃、老餐車、店内乾淨溫暖，雅潔舒適。
獨創的高人氣商品花椒麵-蘭芳小麵，以大紅袍、青花椒、乾辣椒等打碎煉製的麻辣油做為基底，浸潤在紅油裡的麵條香氣誘人。加入蒜泥、薑泥、以紹典老|酒炒的肉末等，趁熱拌勻，口中先透出花椒細緻的微苦韻味，入喉麻香多於辣|勁、唇齒留香。
店中有著淡淡地中藥香滷味順喉好吃，搭配特製花椒辣油，必點。若不吃辣，還可嚐嚐紹子麵，麵條拌開香氣襲來，略帶鹹口的澆汁～連小朋友都愛吃呢！",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
台北旅坊,臺北市中山區松江路95-1號4樓,121.53337,25.050735,02-2502-9955,"旅行是一種探險，休息。每個人都期待從中獲取養分，重新打造自己。
台北旅坊位於台北的心臟地帶
距離捷運松江南京站 3 號和 4 號線（4號出口）僅數步之遙。
每間舒適的客房均配有電視機和水壺，免費的無線網路，並提供私人浴室。
設計概念呈現傳統四合院式的房間配置，每間客房都有窗戶，陽光，環繞著大廳，簡潔的設計，復古木製的傢俱，溫馨的就像回到家裡。我們期待每一次的旅行，都能從心打造自己。",1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,7
"和逸飯店 台北民生館
",臺北市中山區民生東路二段178號,121.536212,25.057699,02-7706-3399,"交通便捷的四星飯店，賓至如歸的貼心體驗
HOTEL COZZI和逸飯店－台北民生館，位於交通便捷的台北市中山區，步行6分鐘即達捷運行天宮站，直通商業核心地段及熱門旅遊景點，無論是以商務或觀光為目的旅客均能享有最便利的交通地理位置。

和逸飯店在軟硬體規劃上皆以「時時體貼，處處合意」為出發點，以適切的溫度，提供具親和力但不叨擾的服務品質。暖色調的裝潢、大量原木傢俱與石材建築，明亮採光與淡淡香氛營造舒心放鬆空間，洗滌旅客疲憊的身心。

和逸飯店較大型飯店少了一點拘謹，比商務飯店則多了一份溫暖，期望為忙於業務拜訪的商務人士，或是結束一整天城市探索的休閒旅客，提供一個讓旅客卸下心防、鬆脫領帶與高跟鞋的自在空間。讓您彷彿身處都會鬧區中的綠洲，在服務、客房、餐飲、環境、交通上都合您心意。",1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,8
漉海鮮蒸氣鍋(松江店),臺北市中山區松江路76號1樓,121.532769,25.049645,"02-2809-8010#9 總部陳先生
02-2523-9963",漉，字義上是「完封精華」之意。將大海珍貴的美味完整封存，送達您口中，是我們唯一的初衷，更是不容妥協的堅持。從嚴選最新鮮的生猛海味以及蔬菜，到透過獨特蒸氣烹煮方式，呈現食材最誘人的原始風味，讓您的每一口體驗，都飽滿鮮美。松江店內部裝潢明亮舒適，而且緊鄰松江南京捷運站，交通十分方便，絕對是親朋好友聚餐的唯一選擇！,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,7
新東陽林森店,臺北市中山區林森北路282號1樓,121.525353,25.055548,02-2536-7736/總公司02-2772-6222＃957(郭小姐),"座落在長春路與林森北路交叉口，本店是臺灣銀行指定外幣收兌處及「旅行購物保障」認證，並榮獲經濟部認可OTOP案商家，推行一鄉一特產，販賣台灣全省特色特產，台灣手工藝品、現場烘烤鳳梨酥及MIT商品，販售商品種類多樣化，都是觀光客指定購買的人氣商品，並備有提供免費打箱打包服務，滿足所有顧客需求，是觀光客最佳選擇地標，除了提供舒適、滿足一次購足的購物空間外，流利的英、日文服務是我們全體夥伴給外國觀光客留下最美好回憶的責任。
門市主要販售新東陽各式肉鬆、肉乾、糕點、鳳梨酥、各式休閒零嘴、以及精選台灣各地的土特、與進口的日/韓等地商品，商品豐富應有盡有。
新東陽以推動中華美食精緻化，國際化的精神標竿為企業目標，堅守著誠信、踏實、積極、創新的四大理念在地化經營，打造“來台必買出國必帶，台灣特產第一品牌”的企業形象，帶給消費者優質購物體驗。
2010年台灣食品消費調查統計年鑑報導：新東陽肉乾、肉鬆、肉醬等系列商品均為消費者最常選購的品牌第一名，因此有肉品王國的美譽2011年更獲得台灣百大品牌之殊榮。
我們提供多元化的媒體付款服務，包含Apple Pay、Samsung Pay與即時線上支付卡-銀聯卡。
同時，也可免費申辦加入新東陽會員，立即享有紅利點數回饋商品，還有專屬會員的活動，讓您輕鬆集點，購物享優惠，更多的優質商品，歡迎您蒞臨門市參觀選購。",1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,8
晶宴會館民生館,臺北市中山區民生東路三段8號1樓,121.538332,25.057611,02-2517-9977,晶宴會館為台灣第一婚宴品牌，北台灣擁有多間分館，自2004成立至今服務超過四萬對新人，累積百萬消費人次，同時秉持「玩婚主義」的品牌精神，讓新人擁有不一樣的完美婚禮，實現新人們一生中最幸福的時刻。民生館擁有雙樓層，共計2個宴會劇場，廳內無柱挑高空間，呈現大氣雍容的雅緻氛圍，同時擁有一座戶外證婚台，滿足新人對婚禮的無限憧憬。無論喜慶婚宴、企業餐敘、或尾牙春酒等，都是您的最佳首選。,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,7
豐味亭異國素食餐廳,臺北市中山區雙城街3巷2號1樓,121.524602,25.063243,02-2599-6000,豐味亭每道蔬食均明確標示出：各類素別 (均無五辛)，若有宗教因素亦可安心食用！,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,7
Escapeholics密室逃脫,臺北市中山區農安街19號B1,121.523962,25.065048,02-2595-5760,Escapeholics【逃托上癮者】、是Escape【逃托】+Holics【上癮者】的結合字，想要透過遊戲讓每位玩家都玩到上癮!,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,7
台北美福大飯店,臺北市中山區樂群二路55號,121.553786,25.080311,02-7722-3399,台北美福大飯店為2016年台灣自創品牌的五星級國際飯店，並分別於2016及2017年獲得世界奢華酒店及世界旅遊酒店組織的獎項肯定，2018年更榮獲米其林餐廳及住宿推薦。坐落於大直地區，鄰近捷運文湖線劍南路站，至松山機場僅需車程10分鐘，桃園機場35分鐘，讓旅客輕鬆遊走台北。飯店規劃146間頂級客房、5間特色餐廳、1間池畔酒吧及1間烘焙坊，設有挑高七公尺的無柱氣派宴會廳，以及戶外恆溫泳池與三溫暖等休閒設施。,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,12
皇家玫瑰旅館-中山館,臺北市中山區林森北路133巷8號,121.52557,25.050975,02-2531-7333/02-8245-8288*5(施小姐),雋永玫瑰 為旅程迎來一刻綻放 皇家玫瑰林森館，以幻化多變的玫瑰色澤為設計理念，巧妙運用的色彩主題，為每間客房都創造了各自獨特的風格，也給予了旅客極致繽紛的住宿體驗。 享盡繁華熱鬧 未完待續的經典 坐落於巷弄一隅的林森館，中正紀念堂、當代藝術館、國際藝術村、華山大草原等等，繁華的中山捷運站商圈、堪稱美食殿堂的寧夏夜市，都與林森館近在咫尺，讓旅客隨時都可以深入認識台北傳統與現代的文化精髓。,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,8
皇家玫瑰旅館-雙城館,臺北市中山區雙城街28巷8號,121.523705,25.065778,02-2595-8077,柔和玫瑰 感受家的溫暖氣息 深灰色的混凝土外牆、個性十足的建築外觀，搭上為冷色調增添一分暖意的木質大門，打造讓人彷彿回到家中的親切感。 鬧中取靜，美食無所不在 皇家玫瑰雙城館，距離中山國小捷運站僅需7分鐘的步行路程，緊鄰在一旁的24小時美食街，讓您在漫漫長夜中，一樣可以滿足嘴饞的慾望。,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,9
Robin's牛排屋及鐵板燒,台北市中山區中山北路二段39巷3號2樓,121.524335,25.054219,"02-2521-5000分機 3930、3931/ 
02-2523-1321 牛排館/ 02-2581-5198 鐵板燒/
02-2523-8000#3673公關部羅小姐",ROBIN'S Grill首創 Casual Fine Dining，企圖營造出「自在又奢華」的用餐氛圍。消費者對於在自在的環境下、不受拘束的品味美食，有越來越高的偏好度，然而，享用時尚氛圍、精緻擺盤以及頂級美食這種稍稍款待自己的奢華需求，也是消費者佈時會出現的慾望；這正是為什麼Robin's要在Fine Dining(華麗、高尚、講究)的用餐環境中，導入Casual(自在、輕鬆、隨意)的概念，領導時尚趨勢的同時，也滿足主流消費者的需求。,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,10
